symbol,event_score_percentile
NFLX,0.9114583333333334
PFE,0.8093750000000001
C,0.771875
JNJ,0.73125
DAL,0.6739583333333333
PEP,0.6583333333333333
JPM,0.6572916666666666
KO,0.6562499999999999
INTC,0.640625
BAC,0.5697916666666667
SCHW,0.5427083333333333
ABT,0.5343749999999999
PM,0.47916666666666674
PG,0.46562500000000007
MS,0.4510416666666666
LUV,0.43645833333333334
WFC,0.4302083333333333
GS,0.4
TSLA,0.3583333333333334
IBM,0.3385416666666667
BLK,0.3145833333333333
UNH,0.28229166666666666
UAL,0.21666666666666667
AAL,0.16979166666666665
